company rank revenue profit num. of employees
Walmart 1 572754 13673 2300000
Amazon 2 469822 33364 1608000
Apple 3 365817 94680 154000
CVS_Health 4 292111 7910 258000
UnitedHealth_Group 5 287597 17285 350000
Exxon_Mobil 6 285640 23040 63000
Berkshire_Hathaway 7 276094 89795 372000
Alphabet 8 257637 76033 156500
McKesson 9 238228 -4539 67500
AmerisourceBergen 10 213988.8 1539.9 40000
Costco_Wholesale 11 195929 5007 288000
Cigna 12 174078 5365 72963
AT&T 13 168864 20081 202600
Microsoft 14 168088 61271 181000
Cardinal_Health 15 162467 611 46827
Chevron 16 162465 15625 42595
Home_Depot 17 151157 16433 490600
Walgreens_Boots_Alliance 18 148579 2542 258500
Marathon_Petroleum 19 141032 9738 17700
Elevance_Health 20 138639 6104 98200
Kroger 21 137888 1655 420000
Ford_Motor 22 136341 17937 183000
Verizon_Communications 23 133613 22065 118400
JPMorgan_Chase 24 127202 48334 271025
General_Motors 25 127004 10019 157000
Centene 26 125982 1347 72500
Meta_Platforms 27 117929 39370 71970
Comcast 28 116385 14159 189000
Phillips_66 29 114852 1317 14000
Valero_Energy 30 108332 930 9804
Dell_Technologies 31 106995 5563 133000
Target 32 106005 6946 450000
Fannie_Mae 33 101543 22176 7400
United_Parcel_Service 34 97287 12890 400945
Lowe's 35 96250 8442 270000
Bank_of_America 36 93851 31978 208248
Johnson_&_Johnson 37 93775 20878 141700
Archer_Daniels_Midland 38 85249 2709 39979
FedEx 39 83959 5231 484000
Humana 40 83064 2933 95500
Wells_Fargo 41 82407 21548 247848
State_Farm_Insurance 42 82224.7 1280.9 53586
Pfizer 43 81288 21979 79000
Citigroup 44 79865 21952 221768
PepsiCo 45 79474 7618 309000
Intel 46 79024 19868 121100
Procter_&_Gamble 47 76118 14306 101000
General_Electric 48 74196 -6520 168000
IBM 49 72344 5743 297800
MetLife 50 71080 6554 43000
Prudential_Financial 51 70934 7724 40916
Albertsons 52 69690.4 850.2 300000
Walt_Disney 53 67418 1995 171000
Energy_Transfer 54 67417 5470 12558
Lockheed_Martin 55 67044 6315 114000
Freddie_Mac 56 65898 12109 7301
Goldman_Sachs_Group 57 64989 21635 43900
Raytheon_Technologies 58 64388 3864 174000
HP 59 63487 6503 51000
Boeing 60 62286 -4202 142000
Morgan_Stanley 61 61121 15034 74814
HCA_Healthcare 62 58752 6956 244000
AbbVie 63 56197 11542 50000
Dow 64 54968 6311 35700
Tesla 65 53823 5519 99290
Allstate 66 53228 1599 54500
American_International_Group 67 52057 9388 36600
Best_Buy 68 51761 2454 81375
Charter_Communications 69 51682 4654 93700
Sysco 70 51297.8 524.2 57710
Merck 71 51216 13049 67500
New_York_Life_Insurance 72 51198.5 277.1 14344
Caterpillar 73 50971 6489 107700
Cisco_Systems 74 49818 10591 79500
TJX 75 48550 3282.8 340000
Publix_Super_Markets 76 48393.9 4412.2 232000
ConocoPhillips 77 48349 8079 9900
Liberty_Mutual_Insurance_Group 78 48200 3068 45000
Progressive 79 47702 3350.9 49077
Nationwide 80 47376 1617.2 24134
Tyson_Foods 81 47049 3047 137000
Bristol-Myers_Squibb 82 46385 6994 32200
Nike 83 44538 5727 73300
Deere 84 44024 5963 75550
American_Express 85 43663 8060 64000
Abbott_Laboratories 86 43075 7071 113000
StoneX_Group 87 42534.2 116.3 3242
Plains_GP_Holdings 88 42078 60 4100
Enterprise_Products_Partners 89 40806.9 4637.7 6911
TIAA 90 40526.4 4060.7 15065
Oracle 91 40479 13746 132000
Thermo_Fisher_Scientific 92 39211 7725 129000
Coca-Cola 93 38655 9771 79000
General_Dynamics 94 38469 3257 103100
CHS 95 38448 554 9941
USAA 96 37469.6 3300 37335
Northwestern_Mutual 97 36751.2 977.8 7585
Nucor 98 36483.9 6827.5 28800
Exelon 99 36347 1706 31518
Massachusetts_Mutual_Life_Insurance 100 35899.5 319.3 10052
Northrop_Grumman 101 35667 7005 88000
3M 102 35355 5921 95000
Travelers 103 34816 3662 30492
Arrow_Electronics 104 34477 1108.2 20700
Honeywell_International 105 34392 5542 99000
Dollar_General 106 34220.4 2399.2 163000
Qualcomm 107 33566 9043 45000
Capital_One_Financial 108 32033 12390 50767
TD_Synnex 109 31614.2 395.1 27000
Philip_Morris_International 110 31405 9109 69600
World_Fuel_Services 111 31337 73.7 4414
Performance_Food_Group 112 30398.9 40.7 22885
Delta_Air_Lines 113 29899 280 83000
American_Airlines_Group 114 29882 -1993 123400
Netflix 115 29697.8 5116.2 11300
